Date,Forecasted_Price,Lower_Bound,Upper_Bound
2025-05-03,1838.9203865701409,1018.348958485886,2659.491814654396
2025-05-04,2005.1434206668212,989.1774295327583,3021.109411800884
2025-05-05,2104.1635860591987,1023.4675347085949,3184.8596374098024
2025-05-06,2083.314052808872,945.9964456498446,3220.6316599678994
2025-05-07,2111.2756138064224,938.8626279096504,3283.688599703194
2025-05-08,2192.959831115447,994.8689007245202,3391.0507615063734
2025-05-09,2162.73565764727,937.9296586043479,3387.5416566901918
2025-05-10,2169.583991572162,927.5250218450042,3411.64296129932
2025-05-11,2241.316850885246,986.5202624429562,3496.1134393275356
2025-05-12,2209.1709946700475,938.8866152084825,3479.4553741316126
2025-05-13,2201.4658292089816,920.6810264663466,3482.250631951617
2025-05-14,2266.927730094086,978.5260955885635,3555.329364599609
2025-05-15,2237.050175829782,938.0991718364301,3536.0011798231335
2025-05-16,2218.8634725496313,912.2904414485633,3525.4365036506993
2025-05-17,2279.7112552173176,967.7919626225196,3591.6305478121158
2025-05-18,2254.4081213126046,934.3807896385786,3574.4354529866305
2025-05-19,2228.4341016119165,902.1006892236239,3554.7675140002093
2025-05-20,2285.24348503942,954.6556121603355,3615.831357918505
2025-05-21,2265.7124278997376,928.352743599417,3603.072112200058
2025-05-22,2233.8792345089737,890.8316294013982,3576.926839616549
2025-05-23,2286.6737995346525,939.9231303993645,3633.4244686699403
2025-05-24,2273.4428513760136,920.726812904961,3626.1588898470663
2025-05-25,2237.2464077623754,879.1281150994519,3595.364700425299
2025-05-26,2285.794541057952,924.2543801731235,3647.33470194278
2025-05-27,2278.973437964151,912.004034506803,3645.942841421499
2025-05-28,2239.6567949580485,867.4089078257978,3611.9046820902995
2025-05-29,2283.6379762767583,908.1040972545004,3659.171855299016
2025-05-30,2283.0650844171446,902.4921827774788,3663.6379860568104
2025-05-31,2241.7121942632166,855.9084706288468,3627.5159178975864
2025-06-01,2280.8093225196876,891.7722727810446,3669.8463722583306
2025-06-02,2286.140440597544,892.3706746545531,3679.910206540535
2025-06-03,2243.722924010558,844.73903505732,3642.706812963796
